# Fecha,IDI
2019-10-28,0.0001
2019-10-29,0.00010589
2019-10-30,0.00011541
2019-10-31,0.00011936
2019-11-01,0.00011442
2019-11-05,0.00010997
2019-11-06,0.00011106
2019-11-07,0.00011505
2019-11-08,0.00011845
2019-11-11,0.00012581
2019-11-12,0.00013093
2019-11-13,0.0001367
2019-11-14,0.00014642
2019-11-15,0.00014709
2019-11-18,0.00014365
2019-11-19,0.00014156
2019-11-20,0.0001488
2019-11-21,0.00015692
2019-11-22,0.00015738
2019-11-25,0.00015957
2019-11-26,0.00016315
2019-11-27,0.00017341
2019-11-28,0.00017959
2019-11-29,0.00018678
2019-12-02,0.00019058
2019-12-03,0.00018385
2019-12-04,0.00018801
2019-12-05,0.0001953
2019-12-06,0.00020375
2019-12-09,0.00020576
2019-12-10,0.00021341
2019-12-11,0.0002181
2019-12-12,0.00022555
2019-12-13,0.00022632
2019-12-16,0.00022638
2019-12-17,0.00022668
2019-12-18,0.00022952
2019-12-19,0.00023439
2019-12-20,0.0002306
2019-12-23,0.0002282
2019-12-26,0.00022271
2019-12-27,0.00022126
2019-12-30,0.00022428
2020-01-02,0.00022793
2020-01-03,0.00023814
2020-01-07,0.00026616
2020-01-08,0.0002774
2020-01-09,0.00029818
2020-01-10,0.00030458
2020-01-13,0.00032861
2020-01-14,0.00033154
2020-01-15,0.00034553
2020-01-16,0.00034813
2020-01-17,0.00035312
2020-01-21,0.00036246
2020-01-22,0.000359
2020-01-23,0.00036032
2020-01-24,0.00036297
2020-01-27,0.00036508
2020-01-28,0.00036395
2020-01-29,0.00036534
2020-01-30,0.0003662
2020-01-31,0.00036662
2020-02-03,0.00036191
2020-02-04,0.00035661
2020-02-05,0.00035856
2020-02-06,0.00035986
2020-02-07,0.00035989
2020-02-10,0.000359
2020-02-11,0.00035713
2020-02-12,0.00035774
2020-02-13,0.00035927
2020-02-14,0.00035974
2020-02-17,0.00035882
2020-02-18,0.0003592
2020-02-19,0.00036067
2020-02-20,0.00036061
2020-02-21,0.00036074
2020-02-26,0.00035861
2020-02-27,0.00035984
2020-02-28,0.00036008
2020-03-02,0.00036223
2020-03-03,0.00036172
2020-03-04,0.00036095
2020-03-05,0.00036009
2020-03-06,0.00035784
2020-03-09,0.00035799
2020-03-10,0.00035814
2020-03-11,0.00035853
2020-03-12,0.00036007
2020-03-13,0.00036026
2020-03-16,0.00036218
2020-03-17,0.0003625
2020-03-18,0.00036182
2020-03-20,0.00035328
2020-03-23,0.00034574
2020-03-24,0.00034172
2020-03-25,0.00034641
2020-03-26,0.00034813
2020-03-27,0.00036095
2020-03-30,0.00038082
2020-03-31,0.00039244
2020-04-01,0.00039574
2020-04-02,0.00040762
2020-04-03,0.00041406
2020-04-06,0.00042367
2020-04-07,0.00044896
2020-04-08,0.00047243
2020-04-13,0.00049369
2020-04-14,0.00051777
2020-04-15,0.00055653
2020-04-16,0.00059088
2020-04-17,0.00061589
2020-04-20,0.00061392
2020-04-21,0.000626
2020-04-22,0.00063113
2020-04-23,0.00070869
2020-04-24,0.00083882
2020-04-27,0.00083637
2020-04-28,0.0008328
2020-04-29,0.00085879
2020-04-30,0.00086321
2020-05-04,0.00086308
2020-05-05,0.00085759
2020-05-06,0.00084029
2020-05-07,0.00082801
2020-05-08,0.00084556
2020-05-11,0.00087522
2020-05-12,0.00087563
2020-05-13,0.00087284
2020-05-14,0.00087532
2020-05-15,0.0008882
2020-05-18,0.00089491
2020-05-19,0.00089633
2020-05-20,0.00089387
2020-05-21,0.00089729
2020-05-22,0.00091976
2020-05-26,0.00094554
2020-05-27,0.00094584
2020-05-28,0.00095848
2020-05-29,0.00096417
2020-06-01,0.00096855
2020-06-02,0.00096701
2020-06-03,0.00096405
2020-06-04,0.00096564
2020-06-05,0.0009712
2020-06-08,0.00097305
2020-06-09,0.00096892
2020-06-10,0.00096749
2020-06-11,0.00098349
2020-06-12,0.00098984
2020-06-15,0.00099372
2020-06-16,0.00099493
2020-06-17,0.00099558
2020-06-18,0.00099469
2020-06-19,0.00099189
2020-06-22,0.00099167
2020-06-23,0.00098629
2020-06-25,0.00098738
2020-06-26,0.00098833
2020-06-30,0.00098919
2020-07-01,0.00099939
2020-07-02,0.00100237
2020-07-03,0.00100582
2020-07-06,0.00101187
2020-07-07,0.00101554
2020-07-08,0.00101796
